3717116668951749 	#南邮之声30周年#老魏！广播站！在一起！足球队！ 	0 	2014-06-02 20:45:00 	#南邮之声30周年#老魏！广播站！在一起！足球队！
3718938414704638 	哈，捕获小萌娃一枚！[挤眼]今天所有甜点原材料又卖光了[泪]所以今天也就提前打烊啦，谢谢各位捧场[爱你] 	24 	2014-06-07 21:24:00 	哈，捕获小萌娃一枚！[挤眼]今天所有甜点原材料又卖光了[泪]所以今天也就提前打烊啦，谢谢各位捧场[爱你]
3718932840405822 	我猜，我猜这是我们鼓楼店[太开心][太开心][太开心]？那什么，男票会卖萌是好事不[挖鼻屎]？ 	8 	2014-06-07 21:02:00 	我猜，我猜这是我们鼓楼店[太开心][太开心][太开心]？那什么，男票会卖萌是好事不[挖鼻屎]？
3718887432984122 	周六又是从中午排队到晚上，抱歉久等哈[委屈]不过大家放心，位置肯定是有的，一千多平的地儿呢，明天活动继续，还没有来小卡家的趁早喽[挤眼] 	26 	2014-06-07 18:02:00 	周六又是从中午排队到晚上，抱歉久等哈[委屈]不过大家放心，位置肯定是有的，一千多平的地儿呢，明天活动继续，还没有来小卡家的趁早喽[挤眼]
3718831505505778 	来看看我拍的MV：“小卡第一次玩美拍，好鸡冻你说我们要不要来个#美拍咖咖奥大赛#？有奖品哦～”，点此播放>>|美拍（通过 #美拍# 录制） 	12 	2014-06-07 14:19:00 	来看看我拍的MV：“小卡第一次玩美拍，好鸡冻你说我们要不要来个#美拍咖咖奥大赛#？有奖品哦～”，点此播放>>|美拍（通过 #美拍# 录制）
3718826753859643 	福利再播报一下[害羞] 	16 	2014-06-07 14:00:00 	福利再播报一下[害羞]
3718799192455167 	小卡想问大家，青春是什么？一人给出一句答案[偷笑] 	47 	2014-06-07 12:11:00 	小卡想问大家，青春是什么？一人给出一句答案[偷笑]
3718766246518157 	啊…[睡觉]一个字都看不进去啊魂淡！ 	24 	2014-06-07 10:00:00 	啊…[睡觉]一个字都看不进去啊魂淡！
3718587967849264 	【小卡福利】非诚勿扰入场券又来啦！[挤眼]快亲亲小卡[偷笑]这次一共七张券，两张是6月8日中午12点的，另五张是8日下午5点的。关注并转发，会在微博上抽两个人送12点的票，五张下午5点的票中午12点到鼓楼店吧台现场抽奖。[鼓掌]周日不如去北京东路8号的鼓楼店享受免费咖啡和买一送一的甜品坐等抽奖吧～ 	218 	2014-06-06 22:12:00 	【小卡福利】非诚勿扰入场券又来啦！[挤眼]快亲亲小卡[偷笑]这次一共七张券，两张是6月8日中午12点的，另五张是8日下午5点的。关注并转发，会在微博上抽两个人送12点的票，五张下午5点的票中午12点到鼓楼店吧台现场抽奖。[鼓掌]周日不如去北京东路8号的鼓楼店享受免费咖啡和买一送一的甜品坐等抽奖吧～
3718574978198889 	[话筒]紧急通知哈～今天大家太捧场了，所以备料几乎都快销空了（小卡家为保证产品新鲜，配料都是昨天限量配备）[可怜]所以今天小卡家10点钟就打烊喽～计划今晚来小卡家喝咖啡的童鞋，明后天再来哈～活动继续！Ps：说明一点，咱们家买一送一的产品当天不可以领哈，用餐后的一个月内都可以来领[挤眼] 	29 	2014-06-06 21:20:00 	[话筒]紧急通知哈～今天大家太捧场了，所以备料几乎都快销空了（小卡家为保证产品新鲜，配料都是昨天限量配备）[可怜]所以今天小卡家10点钟就打烊喽～计划今晚来小卡家喝咖啡的童鞋，明后天再来哈～活动继续！Ps：说明一点，咱们家买一送一的产品当天不可以领哈，用餐后的一个月内都可以来领[挤眼]
3718540329040499 	[馋嘴]你是来给小卡拍鼓楼店的写真蛮？超级好看，如果离鼓楼店近的话也可以去鼓楼坐坐，两店活动是一样样的[嘻嘻]鼓楼店地址：北京东路8号（近丹凤街，省台东侧） 	18 	2014-06-06 19:02:00 	[馋嘴]你是来给小卡拍鼓楼店的写真蛮？超级好看，如果离鼓楼店近的话也可以去鼓楼坐坐，两店活动是一样样的[嘻嘻]鼓楼店地址：北京东路8号（近丹凤街，省台东侧）
3718507592504889 	排队从早上到下午一直没停[亲亲]感谢大家这么给力捧场，还好咱们家店足够大，来的小伙伴都可以找到空位昨晚熬夜备货，今天又高强度工作，小卡的小伙伴们你们辛苦了！即使很忙，我们也力争服务和品味不折扣，希望你们喜欢，有意见和建议也欢迎提出来[亲亲] 	75 	2014-06-06 16:52:00 	排队从早上到下午一直没停[亲亲]感谢大家这么给力捧场，还好咱们家店足够大，来的小伙伴都可以找到空位昨晚熬夜备货，今天又高强度工作，小卡的小伙伴们你们辛苦了！即使很忙，我们也力争服务和品味不折扣，希望你们喜欢，有意见和建议也欢迎提出来[亲亲]
3718466022831119 	🍕🍪吃不了，咱还能兜着走下次来试试怎么样 	26 	2014-06-06 14:07:00 	🍕🍪吃不了，咱还能兜着走下次来试试怎么样
3718443750805919 	谢谢亲爱的你们捧场～人气已经这么旺了，空调给力，我们可爱的工作人员更给力 	23 	2014-06-06 12:38:00 	谢谢亲爱的你们捧场～人气已经这么旺了，空调给力，我们可爱的工作人员更给力
3718434531728342 	开业啦！ 	81 	2014-06-06 12:02:00 	开业啦！
3718409034696286 	回复@丝雨亭:回复@丝雨亭:步步惊笑的主演今晚也会来小卡新店，你不造么，过来金士杰、卜学亮一起喝咖啡吧不见不散哈//@丝雨亭:回复@南京卡卡奥咖啡:小卡，晚上你们几点关门？我今天晚上有话剧步步惊笑，估计看完要9点半了，怕赶过来你们要关门了[可怜] 	16 	2014-06-06 10:21:00 	回复@丝雨亭:回复@丝雨亭:步步惊笑的主演今晚也会来小卡新店，你不造么，过来金士杰、卜学亮一起喝咖啡吧不见不散哈//@丝雨亭:回复@南京卡卡奥咖啡:小卡，晚上你们几点关门？我今天晚上有话剧步步惊笑，估计看完要9点半了，怕赶过来你们要关门了[可怜]
3718401539568742 	小卡已经备好接客啦！ 	79 	2014-06-06 09:51:00 	小卡已经备好接客啦！
3718210492886256 	刘老师的镜头果然非同凡响，明日小卡家开张大吉，广邀四方来店做客，咖啡免费喝哟[偷笑]各位一定要来~ 	27 	2014-06-05 21:12:00 	刘老师的镜头果然非同凡响，明日小卡家开张大吉，广邀四方来店做客，咖啡免费喝哟[偷笑]各位一定要来~
3718194277916471 	新街口店里的小细节：长桌上的苹果电脑、瑞典进口空气净化器，可爱的小杯子，唔，还有趴在窗子上的喵喵 	39 	2014-06-05 20:07:00 	新街口店里的小细节：长桌上的苹果电脑、瑞典进口空气净化器，可爱的小杯子，唔，还有趴在窗子上的喵喵
3718046403368603 	有人要打小卡，肿么办？不要开业了啦说过啦，杯子要晚两天才到呢 //@当地一只萌比:昌珉，雪梨，amber，宋茜，水晶，最后一个允浩！小卡，宋茜留给我！不然我会打你的，真的，我下手很重的！[哼][哼][哼] 	41 	2014-06-05 10:20:00 	有人要打小卡，肿么办？不要开业了啦说过啦，杯子要晚两天才到呢 //@当地一只萌比:昌珉，雪梨，amber，宋茜，水晶，最后一个允浩！小卡，宋茜留给我！不然我会打你的，真的，我下手很重的！[哼][哼][哼]
3718037629182487 	早安，谁能帮我把签名认全了，小卡表示不知道签的都是谁和谁【新街口最大咖啡店咖咖奥6号开业，开业前三天咖啡免费，买一赠一，消费送券，微博微信转发抽奖活动今天发出，会员充值送礼品细则今天发出，敬请期待】地址：洪武路115号，游府西街交叉口；鼓楼店开业活动同享，地址在北京东路8号 	129 	2014-06-05 09:45:00 	早安，谁能帮我把签名认全了，小卡表示不知道签的都是谁和谁【新街口最大咖啡店咖咖奥6号开业，开业前三天咖啡免费，买一赠一，消费送券，微博微信转发抽奖活动今天发出，会员充值送礼品细则今天发出，敬请期待】地址：洪武路115号，游府西街交叉口；鼓楼店开业活动同享，地址在北京东路8号
3717888399407898 	回复@章文唷:鼓楼店和新街口店开业活动是一样的哦，开业期间两店都可以来~鼓楼店地址（北京东路8号，省台东侧，近丹凤街） //@章文唷:@鲸蛇病人 看完电影来这家店吧 这家店真心不错[花心][花心] 鼓楼区的那个也很赞～～ 	51 	2014-06-04 23:52:00 	回复@章文唷:鼓楼店和新街口店开业活动是一样的哦，开业期间两店都可以来~鼓楼店地址（北京东路8号，省台东侧，近丹凤街） //@章文唷:@鲸蛇病人 看完电影来这家店吧 这家店真心不错[花心][花心] 鼓楼区的那个也很赞～～
3717884759449829 	唔，这可能是新街口最大最美的咖啡店了，今天测量整体面积1000多平米，可以容纳三百多人，原木风落地窗，内有大屏幕可放电影可看球赛，后期会开放桌游包间、会议包间，还会有体感互动游戏室。开业前三天咖啡免费，其他买一送一，消费送券，充值会员送大礼，地址：洪武路115 号（和游府西街交叉口） 	212 	2014-06-04 23:37:00 	唔，这可能是新街口最大最美的咖啡店了，今天测量整体面积1000多平米，可以容纳三百多人，原木风落地窗，内有大屏幕可放电影可看球赛，后期会开放桌游包间、会议包间，还会有体感互动游戏室。开业前三天咖啡免费，其他买一送一，消费送券，充值会员送大礼，地址：洪武路115 号（和游府西街交叉口）
3717869546358394 	小卡粉丝里还有木有#朴有天#小老婆了？请举爪！！PS：看看别人家粉丝 //@必须摆脱单身要努力生活的冬冬:#朴有天生日快乐#下次能不能一次性！ 	20 	2014-06-04 22:37:00 	小卡粉丝里还有木有#朴有天#小老婆了？请举爪！！PS：看看别人家粉丝 //@必须摆脱单身要努力生活的冬冬:#朴有天生日快乐#下次能不能一次性！
3717832750126330 	T恤衫到啦，哈哈，店长大人先秀一个给大家看一下那个，韩星咖啡杯可能要迟两天才到、不仅是东方神起，还有张亮、黄晓明等一大波明星的签名咖啡杯…至于咖啡杯和T恤的赠送方式，一个是充值会员，另一个是微博微信抽奖，抽奖微博明后天出来！请持续关注哦～ 	87 	2014-06-04 20:11:00 	T恤衫到啦，哈哈，店长大人先秀一个给大家看一下那个，韩星咖啡杯可能要迟两天才到、不仅是东方神起，还有张亮、黄晓明等一大波明星的签名咖啡杯…至于咖啡杯和T恤的赠送方式，一个是充值会员，另一个是微博微信抽奖，抽奖微博明后天出来！请持续关注哦～
3717796187960334 	朋友圈被#脸萌#刷爆了。。。可是请大家对自己的长相诚实点好么？这是小卡一朋友，总觉得哪里不对…你们觉得像谁？ 	7 	2014-06-04 17:45:00 	朋友圈被#脸萌#刷爆了。。。可是请大家对自己的长相诚实点好么？这是小卡一朋友，总觉得哪里不对…你们觉得像谁？
3717768547715863 	这画面太美！请勿乱点！[阴险] 	24 	2014-06-04 15:55:00 	这画面太美！请勿乱点！[阴险]
3717732971571742 	世界杯到了，介绍八支传统强队，球迷伪球迷都转走看看吧小卡是荷兰铁杆！有我橙色军团的粉丝嘛！ 	8 	2014-06-04 13:34:00 	世界杯到了，介绍八支传统强队，球迷伪球迷都转走看看吧小卡是荷兰铁杆！有我橙色军团的粉丝嘛！
3717671709632779 	回复@快乐星猫800:可以带全公司的小伙伴一起来[爱你]鼓楼店现在活动和新街口一样啦，开业前三天咖啡三选一免费送，其他产品买一送一，消费就送券；过了三天后整月咖啡买一送一[可爱]//@快乐星猫800:哈哈，必须转，就在我们公司大门口！！！ 	85 	2014-06-04 09:31:00 	回复@快乐星猫800:可以带全公司的小伙伴一起来[爱你]鼓楼店现在活动和新街口一样啦，开业前三天咖啡三选一免费送，其他产品买一送一，消费就送券；过了三天后整月咖啡买一送一[可爱]//@快乐星猫800:哈哈，必须转，就在我们公司大门口！！！
3717531850702165 	来过深夜的医院，满目伤痛和呻吟，这时才明白健康的重要。现在还能看到这条微博的亲，早点睡吧，健康活着，比什么都好。晚安 	35 	2014-06-04 00:15:00 	来过深夜的医院，满目伤痛和呻吟，这时才明白健康的重要。现在还能看到这条微博的亲，早点睡吧，健康活着，比什么都好。晚安
3719479068019513 	看来我要去新东方、蓝翔和大学了//@财务金融精英伯乐: 主页君认为职场上的核心技能：表达能力（英语、中文组织能力）、动手能力（计算机等工具的使用）、思维方式（透过现象看本质、复杂问题简单化、大局思维）、情商。 	0 	2014-06-09 09:12:00 	看来我要去新东方、蓝翔和大学了//@财务金融精英伯乐: 主页君认为职场上的核心技能：表达能力（英语、中文组织能力）、动手能力（计算机等工具的使用）、思维方式（透过现象看本质、复杂问题简单化、大局思维）、情商。
3718471005103090 	@潇洒地猴 认识？ 	1 	2014-06-06 14:27:00 	@潇洒地猴 认识？
3719356984911549 	要不然明天8点起来看NBA直播吧[嘻嘻][嘻嘻] |南瑞路 	10 	2014-06-09 01:07:00 	要不然明天8点起来看NBA直播吧[嘻嘻][嘻嘻] |南瑞路
3718757560508849 	哈哈哈 	0 	2014-06-07 09:25:00 	哈哈哈
3718466844785279 	@闪电 @帅帅帅帅胡 @_天边de眷恋 	0 	2014-06-06 14:10:00 	@闪电 @帅帅帅帅胡 @_天边de眷恋
3719617001852712 	[哈哈]//@英超各种黑: 哈哈哈哈泥们够了//@枪迷平原君: 哈哈哈哈哈扬眉吐气足球狗//@浮城hy_ARS: 足球狗注孤生//@米饭叔微腐私访:哈哈足球狗就是这么拽[hold住]//@吴邪从此不天真: 哈哈哈哈哈哈哈哈足球狗//@呱基: 哈哈哈//@斯坦福桥更衣室的摄像头:足球狗的胜利 	0 	2014-06-09 18:21:00 	[哈哈]//@英超各种黑: 哈哈哈哈泥们够了//@枪迷平原君: 哈哈哈哈哈扬眉吐气足球狗//@浮城hy_ARS: 足球狗注孤生//@米饭叔微腐私访:哈哈足球狗就是这么拽[hold住]//@吴邪从此不天真: 哈哈哈哈哈哈哈哈足球狗//@呱基: 哈哈哈//@斯坦福桥更衣室的摄像头:足球狗的胜利
3719263502714518 	发丁币了，快来抢啊～ 	2 	2014-06-08 18:56:00 	发丁币了，快来抢啊～
